name,org,url,id,Label,citations,h_index,study_field
sarah gaggl,TU-Dresden,https://scholar.google.com/citations?hl=it&user=i2uRICsAAAAJ,20,sarah gaggl - TU-Dresden - [],1296,18,[]
giovanni leoni,Carnegie Mellon University,https://scholar.google.com/citations?hl=it&user=0Nj-v7sAAAAJ,21,"giovanni leoni - Carnegie Mellon University - ['Calculus of Variations', 'Partial Differential Equations', 'Materials Science']",3878,26,"['Calculus of Variations', 'Partial Differential Equations', 'Materials Science']"
shinya ito,University of Toronto,https://scholar.google.com/citations?hl=it&user=7t-xFEcAAAAJ,22,shinya ito - University of Toronto - ['breastfeeding pharmacology'],14014,60,['breastfeeding pharmacology']
radu timofte,University of Würzburg,https://scholar.google.com/citations?hl=it&user=u3MwH5kAAAAJ,23,"radu timofte - University of Würzburg - ['Computer Vision', 'Machine Learning', 'AI', 'Compression', 'Computational Photography']",40602,87,"['Computer Vision', 'Machine Learning', 'AI', 'Compression', 'Computational Photography']"
gianmaria silvello,University of Padua,https://scholar.google.com/citations?hl=it&user=pY24h-YAAAAJ,24,"gianmaria silvello - University of Padua - ['Information Retrieval Evaluation', 'Data Citation', 'Digital Libraries and Archives', 'Data Models', 'Linked Open Data']",1692,20,"['Information Retrieval Evaluation', 'Data Citation', 'Digital Libraries and Archives', 'Data Models', 'Linked Open Data']"
lorenzo chiari,University of Bologna,https://scholar.google.com/citations?hl=it&user=YFb4m6cAAAAJ,25,"lorenzo chiari - University of Bologna - ['Rehabilitation Engineering', 'Human Movement Analysis', 'Posture and Balance', 'Gerontechnologies']",16429,64,"['Rehabilitation Engineering', 'Human Movement Analysis', 'Posture and Balance', 'Gerontechnologies']"
giovanna guerrini,Università di Genova,https://scholar.google.com/citations?hl=it&user=wZtu8FYAAAAJ,26,giovanna guerrini - Università di Genova - ['Data Management'],2686,27,['Data Management']
amal shehan perera,University of Moratuwa,https://scholar.google.com/citations?hl=it&user=hDzb7rcAAAAJ,27,"amal shehan perera - University of Moratuwa - ['Data Mining', 'Database', 'Software Engineering']",1181,17,"['Data Mining', 'Database', 'Software Engineering']"
ryo tanaka,"Fuji Electric Co., Ltd.",https://scholar.google.com/citations?hl=it&user=uglw48UAAAAJ,28,"ryo tanaka - Fuji Electric Co., Ltd. - ['Semiconductor device', 'Nitride', 'power device', 'GaN']",566,13,"['Semiconductor device', 'Nitride', 'power device', 'GaN']"
bart vandevelde,Project leader,https://scholar.google.com/citations?hl=it&user=OG83534AAAAJ,29,bart vandevelde - Project leader - [],4367,32,[]
siegfried handschuh,University of St.Gallen,https://scholar.google.com/citations?hl=it&user=zl_3HgQAAAAJ,30,"siegfried handschuh - University of St.Gallen - ['Data Science', 'Natural Language Processing', 'Artificial Intelligence', 'Machine Learning', 'Deep Learning']",9283,44,"['Data Science', 'Natural Language Processing', 'Artificial Intelligence', 'Machine Learning', 'Deep Learning']"
michelangelo diligenti,University of Siena,https://scholar.google.com/citations?hl=it&user=qI-LOjIAAAAJ,31,"michelangelo diligenti - University of Siena - ['Artificial Intelligence', 'Machine Learning', 'Neuro-symbolic ML', 'StarAI']",2996,24,"['Artificial Intelligence', 'Machine Learning', 'Neuro-symbolic ML', 'StarAI']"
massimiliano fantini,Università di Bologna,https://scholar.google.com/citations?hl=it&user=ZsTkZIIAAAAJ,32,massimiliano fantini - Università di Bologna - [],2301,26,[]
